timestamp,protocol,bitrate,statistic,bandwidth,jitter,packet_loss
2025-03-17T13:34:48.843942,UDP,500M,,453.10827300834546,0.002627011244582184,21.63327700932286
2025-03-17T13:34:58.914417,UDP,500M,,474.06758426283733,0.005491293666676315,28.098519278698138
2025-03-17T13:35:08.994999,UDP,500M,,499.738431782205,0.019551943203630143,16.53706103092688
2025-03-17T13:35:19.079704,UDP,500M,,482.99066553965315,0.00606720327431929,16.8366245689097
2025-03-17T13:35:29.168073,UDP,500M,,476.6270036081446,0.003322780671392802,26.30874179492227
2025-03-17T13:35:39.230778,UDP,500M,,499.7919719930223,0.0012938918308713757,9.58175151692138
2025-03-17T13:35:49.300992,UDP,500M,,495.7449379239728,0.004092257251732374,15.182307791160905
2025-03-17T13:35:59.378473,UDP,500M,,497.4441301224895,0.08018743686862687,14.37107482087095
2025-03-17T13:36:09.451836,UDP,500M,,499.9369594070363,0.008431390546647235,9.667605816550664
2025-03-17T13:36:19.524557,UDP,500M,,499.2164132116259,0.004685286109542565,14.095323832814378
,,,,,,
Summary,UDP,500M,min,453.10827300834546,,
Summary,UDP,500M,max,499.9369594070363,,
Summary,UDP,500M,avg,487.86663708593323,0.013575049466802115,17.231228746109814
Summary,UDP,500M,std,15.84691140378661,,
