timestamp,protocol,bitrate,statistic,bandwidth,jitter,packet_loss
2025-03-14T16:24:27.473787,TCP,10M,,243.75633277348632,,
2025-03-14T16:24:37.636442,TCP,10M,,495.5783206951308,,
2025-03-14T16:24:47.792323,TCP,10M,,516.9842734853358,,
2025-03-14T16:24:57.952297,TCP,10M,,506.37754167503203,,
2025-03-14T16:25:08.099313,TCP,10M,,528.7573257520338,,
2025-03-14T16:25:18.270415,TCP,10M,,509.2579697711009,,
2025-03-14T16:25:28.465001,TCP,10M,,455.01341347858875,,
,,,,,,
Summary,TCP,10M,min,243.75633277348632,,
Summary,TCP,10M,max,528.7573257520338,,
Summary,TCP,10M,avg,465.10359680438694,,
Summary,TCP,10M,std,100.35078548838312,,
