timestamp,protocol,bitrate,statistic,bandwidth,jitter,packet_loss
2025-03-14T15:20:03.430852,TCP,10M,,725.136860596408,,
2025-03-14T15:20:13.530432,TCP,10M,,728.9737841361404,,
2025-03-14T15:20:23.597232,TCP,10M,,670.6871461458595,,
2025-03-14T15:20:33.687091,TCP,10M,,637.039097355234,,
2025-03-14T15:20:43.756465,TCP,10M,,752.5951521083063,,
2025-03-14T15:20:53.835548,TCP,10M,,667.4509296839434,,
2025-03-14T15:21:03.913811,TCP,10M,,764.240863141252,,
2025-03-14T15:21:14.019808,TCP,10M,,774.5644057772786,,
2025-03-14T15:21:24.124902,TCP,10M,,696.8154610479095,,
,,,,,,
Summary,TCP,10M,min,637.039097355234,,
Summary,TCP,10M,max,774.5644057772786,,
Summary,TCP,10M,avg,713.0559666658146,,
Summary,TCP,10M,std,47.8057378860577,,
