timestamp,protocol,bitrate,statistic,bandwidth,jitter,packet_loss
2025-03-14T15:01:35.005953,TCP,10M,,942.5059222201261,,
2025-03-14T15:01:45.027873,TCP,10M,,938.4263818307417,,
2025-03-14T15:01:55.049002,TCP,10M,,939.8561197808604,,
2025-03-14T15:02:05.070495,TCP,10M,,939.2514880842283,,
2025-03-14T15:02:15.088894,TCP,10M,,939.2498543350073,,
2025-03-14T15:02:25.108682,TCP,10M,,938.851844949236,,
2025-03-14T15:02:35.128043,TCP,10M,,939.1534099055423,,
2025-03-14T15:02:45.148014,TCP,10M,,938.630244069435,,
2025-03-14T15:02:55.168803,TCP,10M,,938.9537757282405,,
2025-03-14T15:03:05.194983,TCP,10M,,938.227488885196,,
,,,,,,
Summary,TCP,10M,min,938.227488885196,,
Summary,TCP,10M,max,942.5059222201261,,
Summary,TCP,10M,avg,939.3106529788613,,
Summary,TCP,10M,std,1.2154196477624415,,
