timestamp,protocol,bitrate,statistic,bandwidth,jitter,packet_loss
2025-03-17T14:27:47.853601,UDP,800M,,698.0653498594035,0.17909824693929152,0.01825277774090348
2025-03-17T14:27:57.910415,UDP,800M,,657.8172098103847,0.04352270919035894,0
2025-03-17T14:28:07.970767,UDP,800M,,664.3632231183074,0.023844174641292012,0
2025-03-17T14:28:18.024210,UDP,800M,,658.276035557806,0.020529581412658007,0
2025-03-17T14:28:28.085899,UDP,800M,,647.8934485940945,0.0321417469363222,0
2025-03-17T14:28:38.129183,UDP,800M,,691.771176252187,0.00799441432848947,0.000502338385183027
2025-03-17T14:28:48.174981,UDP,800M,,636.5922584234587,0.17037707834734062,0.0010917348394421963
2025-03-17T14:28:58.242228,UDP,800M,,717.8444536928284,0.0664061179081184,0
2025-03-17T14:29:08.295397,UDP,800M,,701.8643939737855,0.040118895934744554,0
,,,,,,
Summary,UDP,800M,min,636.5922584234587,,
Summary,UDP,800M,max,717.8444536928284,,
Summary,UDP,800M,avg,674.9430610313617,0.06489255173762397,0.0022052056628365227
Summary,UDP,800M,std,27.992401746602006,,
